Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control (0 to 1)	Pump Control ()
0.6661861699	-481.7593688965	2.3321657181	0.5536653652	3.3180862688
0.6661862393	-479.0311584473	1.3352189064	0.5536653652	3.3180862688
0.6661863087	-476.9093017578	5.3229899406	0.5552792435	3.3219921911
0.6661863781	-479.0311889648	-0.6586624980	0.5552792435	3.3219921911
0.6661864475	-479.9405822754	-3.6494908333	0.5552792435	3.3219921911
0.6661865169	-475.5351562500	-15.4134063721	0.5562385583	3.3316754607
0.6661866094	-468.7021179199	-2.5030059814	0.5562385583	3.3316754607
0.6661866557	-464.2183837891	-2.4531626701	0.5562385583	3.3316754607
0.6661867251	-464.6781311035	3.1795625687	0.5562385583	3.3316754607
0.6661867945	-465.8754577637	10.5070896149	0.5562385583	3.3316754607
0.6661868870	-465.9967041016	19.7786483765	0.5577129424	3.3374313498
0.6661869333	-465.5647888184	12.3015832901	0.5577129424	3.3374313498
0.6661870027	-463.4504699707	1.9998488426	0.5577129424	3.3374313498
0.6661870721	-458.9641723633	-4.5799674988	0.5583713610	3.3462776542
0.6661871415	-459.0854492188	10.6400127411	0.5583713610	3.3462776542
0.6661872109	-459.6310729980	7.3168754578	0.5583713610	3.3462776542
0.6661872803	-456.2966613770	-7.6372575760	0.5583713610	3.3462776542
0.6661873497	-456.2966308594	-7.6372537613	0.5583713610	3.3462776542
0.6661874191	-453.2426452637	-4.5218153000	0.5583713610	3.3462776542
0.6661874885	-457.4081115723	6.3199286461	0.5601568848	3.3502281659
0.6661875579	-452.0326843262	-0.1934219599	0.5601568848	3.3502281659
0.6661876273	-446.2934570313	12.3015813828	0.5601568848	3.3502281659
0.6661876967	-440.5340270996	17.9093799591	0.5608298912	3.3609413090
0.6661877661	-441.6657409668	5.1900625229	0.5608298912	3.3609413090
0.6661878355	-441.5570678711	3.3291044235	0.5608298912	3.3609413090
0.6661879049	-435.7850952148	16.2893486023	0.5608298912	3.3609413090
0.6661879743	-435.4187927246	10.0584630966	0.5608298912	3.3609413090
0.6661880437	-436.8965454102	4.3260431290	0.5608298912	3.3609413090
0.6661881131	-439.6246643066	14.0960769653	0.5607600880	3.3649793474
0.6661881825	-435.1788330078	-9.4982156754	0.5607600880	3.3649793474
0.6661882519	-435.4187927246	-16.8589744568	0.5607600880	3.3649793474
0.6661883213	-432.0465393066	-0.0604984500	0.5588796839	3.3645605282
0.6661883907	-431.8949584961	1.3850662708	0.5588796839	3.3645605282
0.6661884601	-428.9394226074	15.6662607193	0.5588796839	3.3645605282
0.6661885295	-429.0152893066	-5.6433763504	0.5588796839	3.3645605282
0.6661885989	-429.6214904785	7.8153448105	0.5588796839	3.3645605282
0.6661886683	-429.0151977539	0.3382802904	0.5588796839	3.3645605282
0.6661887377	-424.5062255859	-3.4002540112	0.5539330876	3.3532781032
0.6661888303	-429.6214904785	-15.7374143600	0.5539330876	3.3532781032
0.6661888766	-424.8472595215	-4.5218153000	0.5539330876	3.3532781032
